Joueur,Équipe,Matchs,Minutes,Buts,Passes décisives,xG,xA,MinsPerMatch,GoalsPerMatch
João Gomes,Wolverhampton Wanderers,15,1295,2,1,1.2107207048684359,0.4693031832575798,86,0.13333333333333333
Mohammed Kudus,West Ham,10,842,2,1,3.471126154065132,1.3479351084679365,84,0.2
Daniel Muñoz,Crystal Palace,15,1270,2,1,2.9052846543490887,1.4250406250357628,84,0.13333333333333333
Yankuba Minteh,Brighton,10,433,2,1,1.1928833946585655,1.4175015091896057,43,0.2
Michail Antonio,West Ham,14,859,1,1,2.99339403398335,1.598572283051908,61,0.07142857142857142
Ashley Young,Everton,12,1045,1,3,0.1545794941484928,1.5110074877738953,87,0.08333333333333333
Ola Aina,Nottingham Forest,15,1299,1,0,0.11351074185222387,0.9073597975075245,86,0.06666666666666667
Virgil van Dijk,Liverpool,14,1260,1,1,1.1534932795912027,0.4480435196310282,90,0.07142857142857142
Adama Traoré,Fulham,14,826,1,3,3.879275366663933,2.9538220167160034,59,0.07142857142857142
Andreas Pereira,Fulham,14,975,1,0,2.5626990012824535,2.4785006660968065,69,0.07142857142857142
Danny Ings,West Ham,9,157,1,1,1.6746996119618416,0.8166581466794014,17,0.1111111111111111
Emerson,West Ham,15,1134,1,1,1.0180205749347806,0.5530372550711036,75,0.06666666666666667
Mario Lemina,Wolverhampton Wanderers,15,1247,1,3,1.1259673545137048,0.9138216767460108,83,0.06666666666666667
Lewis Cook,Bournemouth,14,1182,1,3,0.7845169194042683,2.5078651225194335,84,0.07142857142857142
Pablo Sarabia,Wolverhampton Wanderers,5,172,1,0,0.9379261210560799,0.25171223282814026,34,0.2
Casemiro,Manchester United,12,751,1,0,0.9967881552875042,1.8497501611709595,62,0.08333333333333333
Martin Odegaard,Arsenal,8,686,1,2,2.0454308968037367,2.6397401466965675,85,0.125
Bernardo Silva,Manchester City,15,1187,1,4,3.011107413098216,3.9911013124510646,79,0.06666666666666667
Mikel Merino,Arsenal,8,404,1,0,1.308153886348009,0.38000574707984924,50,0.125
Ismaila Sarr,Crystal Palace,15,824,1,1,2.7226736918091774,2.5948788579553366,54,0.06666666666666667
Gonçalo Guedes,Wolverhampton Wanderers,12,209,1,2,0.5680464021861553,0.8310361970216036,17,0.08333333333333333
Orel Mangala,Everton,11,573,1,0,0.3163955435156822,0.281340304762125,52,0.09090909090909091
Niclas Füllkrug,West Ham,4,65,1,0,0.8132949471473694,0,16,0.25
Rodrigo Bentancur,Tottenham,10,545,1,0,0.5164269749075174,0.05360686406493187,54,0.1
Nikola Milenkovic,Nottingham Forest,14,1260,1,1,2.1253505758941174,0.5814476609230042,90,0.07142857142857142
Enes Ünal,Bournemouth,12,174,1,1,1.5406122915446758,0.42385105416178703,14,0.08333333333333333
Ibrahima Konaté,Liverpool,12,979,1,1,1.209789514541626,0.34917103312909603,81,0.08333333333333333
